parameter,value
Col::Vsat,0.96
vin3::Vsat,1.00E+04
Col::FLCx,1
FRI::FLCx,1
fve::FLCx,1
Col::FLMx,0.598
flm::FLMx,0.737
fve::FLMx,0.731
Col::D_LD,1
gi::D_LD,0
Col::FT_response_slope,0
gi::FT_response_slope,0
